trade_month,strategy,net_profit,trades,configs,picks
2024-09,FOLLOW_BEST,9312.0,275,5,M5_LONDON_ORB30_INCLUDE_NEWS_RR4p5|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR4p5|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR4|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR4|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR5|ORIGINAL
2024-09,ALL_ORIGINAL,125738.0,9344,162,
2024-09,ALL_R,-149004.0,3402,162,
2024-09,ALL_RR,-123876.0,5222,162,
2024-09,ALL_RRR,-85976.0,6144,162,
2024-10,REVERSE_WORST,16307.0,176,5,M15_LONDON_ORB60_INCLUDE_NEWS_RR1|RRR;M15_LONDON_ORB60_SKIP_NEWS_RR1|RRR;M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5|R;M15_LONDON_ORB60_SKIP_NEWS_RR3p5|R;M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5|RRR
2024-10,KEEP_WORST,-37528.0,230,5,M15_LONDON_ORB60_INCLUDE_NEWS_RR1|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR1|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR3p5|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5|ORIGINAL
2024-10,FOLLOW_BEST,-35156.0,314,5,M5_LONDON_ORB30_INCLUDE_NEWS_RR4p5|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR4p5|ORIGINAL;M15_LONDON_ORB30_INCLUDE_NEWS_RR3|ORIGINAL;M15_LONDON_ORB30_SKIP_NEWS_RR3|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR4|ORIGINAL
2024-10,ALL_ORIGINAL,-1007040.0,11848,162,
2024-10,ALL_R,11744.0,3726,162,
2024-10,ALL_RR,64014.0,6076,162,
2024-10,ALL_RRR,139624.0,7330,162,
2024-11,REVERSE_WORST,-8790.0,105,5,M15_LONDON_ORB60_INCLUDE_NEWS_RR3|R;M15_LONDON_ORB60_SKIP_NEWS_RR3|R;M15_LONDON_ORB60_INCLUDE_NEWS_RR4|R;M15_LONDON_ORB60_SKIP_NEWS_RR4|R;M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5|R
2024-11,KEEP_WORST,8542.0,175,5,M15_LONDON_ORB60_INCLUDE_NEWS_RR3|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR3|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR4|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR4|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5|ORIGINAL
