timeframe,session,orb_minutes,news_mode,risk_reward,sl_range_mult,max_trades,trades_rev,net_profit_rev,profit_factor_rev,win_rate_rev,max_dd_pct_rev,avg_r_rev,trades_fwd,net_profit_fwd,profit_factor_fwd,win_rate_fwd,max_dd_pct_fwd,avg_r_fwd,edge_over_forward
M15,LONDON,15,INCLUDE_NEWS,3.0,1.0,3,223,27689.99999999923,1.1782541521823051,38.11659192825112,18.32901554404151,0.2514518783521531,275,-56669.99999999926,0.7868747649492317,28.000000000000004,69.47999999999924,-0.16377891807801487,84359.99999999849
M15,LONDON,30,SKIP_NEWS,2.0,0.75,2,163,21450.00000000006,1.2092233862000352,40.49079754601227,14.425019095306665,0.1237193354112644,172,-62709.99999999983,0.631564104673161,27.325581395348834,71.12399999999991,-0.25619822415769317,84159.99999999988
M5,LONDON,15,INCLUDE_NEWS,2.5,2.0,3,188,28999.999999999884,1.146228317870109,44.680851063829785,44.82379954078065,0.11381626804597901,210,-54284.99999999923,0.7908495472933951,35.23809523809524,75.52059231837067,-0.13132675124082446,83284.99999999911
M1,LONDON,60,INCLUDE_NEWS,1.0,0.75,1,158,35403.00000000026,1.3271421839048616,58.22784810126582,9.788357874172474,0.1588597421115868,158,-47589.000000000524,0.7032068552611856,39.24050632911392,55.81700000000007,-0.20326154477140515,82992.00000000079
M5,LONDON,15,INCLUDE_NEWS,3.0,2.0,3,186,38889.99999999959,1.1976921512810068,44.086021505376344,45.409999999999854,0.13867047225788354,210,-44059.999999999345,0.8302446542092106,35.23809523809524,68.00555298472895,-0.10799980524077743,82949.99999999894
M15,LONDON,60,SKIP_NEWS,1.0,1.0,3,166,54150.000000000175,1.5017140739368167,59.63855421686747,11.268798983266283,0.1754466089444355,150,-28770.000000000044,0.8131454179385589,40.666666666666664,39.26999999999998,-0.12870710058815582,82920.00000000022
M15,LONDON,15,SKIP_NEWS,1.5,0.5,3,247,28471.999999999403,1.384237516869089,49.797570850202426,13.961164547822413,0.2398942717440032,236,-54354.99999999939,0.6481877022653739,30.08474576271186,60.630045907867036,-0.26732592194545557,82826.99999999879
M15,LONDON,15,SKIP_NEWS,3.0,1.0,2,146,20719.999999999578,1.2103766879886224,39.04109589041096,17.640526225867,0.2620930745097023,162,-62029.999999999476,0.6495084190304017,22.839506172839506,65.29999999999954,-0.2856640781210464,82749.99999999905
M1,LONDON,30,SKIP_NEWS,1.0,1.5,2,166,46459.999999999476,1.3650650218048912,61.44578313253012,18.775045179539514,0.18121152040722188,161,-36120.000000000255,0.7864995862395071,40.993788819875775,47.01313644644774,-0.12388971987699672,82579.99999999974
M1,LONDON,60,INCLUDE_NEWS,2.0,0.5,2,275,28829.999999999956,1.1706826120419158,40.0,12.922823658527077,0.14961805813665183,280,-53349.99999999971,0.7652158605817901,28.214285714285715,63.6149999999999,-0.19108824939938024,82179.99999999967
M5,LONDON,15,INCLUDE_NEWS,3.0,1.5,3,209,25449.999999999025,1.1307441370630043,40.19138755980861,38.411138411138545,0.12783403401433457,255,-56634.999999999614,0.8028029247910876,30.19607843137255,76.62018047580014,-0.14679830180866874,82084.99999999863
M5,LONDON,15,INCLUDE_NEWS,3.0,2.0,2,183,39169.99999999968,1.1997348426903258,43.71584699453552,45.449999999999825,0.14324057450974692,200,-42279.99999999936,0.8313589406086735,35.0,61.8872894910148,-0.11296133609907993,81449.99999999904
M15,LONDON,15,SKIP_NEWS,1.5,1.5,2,145,28298.99999999946,1.247325642370211,53.79310344827586,23.448317904325673,0.24624043443489885,149,-53051.999999999985,0.6888445747800586,31.543624161073826,56.38800000000002,-0.22890952655024047,81350.99999999945
M15,LONDON,15,SKIP_NEWS,1.5,0.75,2,183,32926.999999999854,1.4193240283225492,50.27322404371585,10.85948924708997,0.24652505158849022,178,-48392.999999999054,0.677156161605384,30.89887640449438,50.15499999999904,-0.27407231003922083,81319.99999999891
M15,LONDON,15,SKIP_NEWS,2.0,0.75,2,174,53572.99999999962,1.6997061320446627,49.42528735632184,9.772838958198049,0.43251210433127196,178,-27730.99999999891,0.818342013035936,29.213483146067414,34.77451265638562,-0.20200064278475305,81303.99999999853
